exps,dataSets,attacks,budgets(%),metrics,result
1,Cora,CLGA,1,edge_homophily,0.80440512
1,Cora,CLGA,1,node_homophily,0.812844224
1,Cora,CLGA,1,class_homophily,0.759248722
1,Cora,CLGA,1,adjusted_homophily,0.433983625
1,Cora,CLGA,1,balanced_homophily,0.355549233
1,Cora,CLGA,5,edge_homophily,0.784117754
1,Cora,CLGA,5,node_homophily,0.780644217
1,Cora,CLGA,5,class_homophily,0.734326826
1,Cora,CLGA,5,adjusted_homophily,0.269828424
1,Cora,CLGA,5,balanced_homophily,0.340596095
1,Cora,CLGA,10,edge_homophily,0.759825328
1,Cora,CLGA,10,node_homophily,0.745597435
1,Cora,CLGA,10,class_homophily,0.705035331
1,Cora,CLGA,10,adjusted_homophily,-0.025826613
1,Cora,CLGA,10,balanced_homophily,0.323021199
1,Cora,CLGA,15,edge_homophily,0.738859929
1,Cora,CLGA,15,node_homophily,0.721165192
1,Cora,CLGA,15,class_homophily,0.679645527
1,Cora,CLGA,15,adjusted_homophily,-0.541932994
1,Cora,CLGA,15,balanced_homophily,0.307787316
1,Cora,CLGA,20,edge_homophily,0.71756713
1,Cora,CLGA,20,node_homophily,0.696364923
1,Cora,CLGA,20,class_homophily,0.653326199
1,Cora,CLGA,20,adjusted_homophily,-1.767377048
1,Cora,CLGA,20,balanced_homophily,0.29199572
1,Cora,dice,1,edge_homophily,0.80538695
1,Cora,dice,1,node_homophily,0.819771959
1,Cora,dice,1,class_homophily,0.760736597
1,Cora,dice,1,adjusted_homophily,0.452115336
1,Cora,dice,1,balanced_homophily,0.356441958
1,Cora,dice,5,edge_homophily,0.784889226
1,Cora,dice,5,node_homophily,0.797406929
1,Cora,dice,5,class_homophily,0.736852655
1,Cora,dice,5,adjusted_homophily,0.392271756
1,Cora,dice,5,balanced_homophily,0.342111593
1,Cora,dice,10,edge_homophily,0.758815765
1,Cora,dice,10,node_homophily,0.765479935
1,Cora,dice,10,class_homophily,0.704831477
1,Cora,dice,10,adjusted_homophily,0.3136765
1,Cora,dice,10,balanced_homophily,0.322898886
1,Cora,dice,15,edge_homophily,0.735255073
1,Cora,dice,15,node_homophily,0.742511956
1,Cora,dice,15,class_homophily,0.67769921
1,Cora,dice,15,adjusted_homophily,0.254401254
1,Cora,dice,15,balanced_homophily,0.306619526
1,Cora,dice,20,edge_homophily,0.710301651
1,Cora,dice,20,node_homophily,0.709453798
1,Cora,dice,20,class_homophily,0.646968929
1,Cora,dice,20,adjusted_homophily,0.181518556
1,Cora,dice,20,balanced_homophily,0.288181357
1,Cora,metattack,1,edge_homophily,0.80206379
1,Cora,metattack,1,node_homophily,0.812103913
1,Cora,metattack,1,class_homophily,0.755865331
1,Cora,metattack,1,adjusted_homophily,0.422533102
1,Cora,metattack,1,balanced_homophily,0.353519199
1,Cora,metattack,5,edge_homophily,0.772062805
1,Cora,metattack,5,node_homophily,0.776684609
1,Cora,metattack,5,class_homophily,0.719084894
1,Cora,metattack,5,adjusted_homophily,0.220482515
1,Cora,metattack,5,balanced_homophily,0.331450937
1,Cora,metattack,10,edge_homophily,0.739355284
1,Cora,metattack,10,node_homophily,0.740112582
